arm,task,trial,reward,solved,scored,dead,model_calls,reasoning_tokens,completion_tokens,marker_hits
base_qwen38_bf16,terminal-bench/crack-7z-hash,crack-7z-hash__Hzt7B2N,1.0,1,1,0,19,6404,10865,161
base_qwen38_bf16,terminal-bench/crack-7z-hash,crack-7z-hash__nW9mhS8,1.0,1,1,0,38,12759,21020,263
base_qwen38_bf16,terminal-bench/crack-7z-hash,crack-7z-hash__xwQ2UR6,1.0,1,1,0,45,31212,42608,851
base_qwen38_bf16,terminal-bench/crack-7z-hash,crack-7z-hash__ynHpwXk,1.0,1,1,0,20,8267,12898,270
base_qwen38_bf16,terminal-bench/custom-memory-heap-crash,custom-memory-heap-crash__AVML5qQ,1.0,1,1,0,18,16726,22415,489
base_qwen38_bf16,terminal-bench/custom-memory-heap-crash,custom-memory-heap-crash__ED2bcPZ,1.0,1,1,0,25,54401,64808,928
base_qwen38_bf16,terminal-bench/custom-memory-heap-crash,custom-memory-heap-crash__VVxYpsb,1.0,1,1,0,12,10539,16844,277
base_qwen38_bf16,terminal-bench/custom-memory-heap-crash,custom-memory-heap-crash__xXVFL42,1.0,1,1,0,27,37353,47659,606
base_qwen38_bf16,terminal-bench/custom-memory-heap-crash,custom-memory-heap-crash__zYeGvpG,1.0,1,1,0,45,62590,79802,1057
base_qwen38_bf16,terminal-bench/db-wal-recovery,db-wal-recovery__5nAeXqY,1.0,1,1,0,15,43504,55972,422
base_qwen38_bf16,terminal-bench/db-wal-recovery,db-wal-recovery__8ZtfPkD,0.0,0,1,0,34,68829,91916,1289
base_qwen38_bf16,terminal-bench/db-wal-recovery,db-wal-recovery__EK9oXG3,1.0,1,1,0,7,7643,9930,76
base_qwen38_bf16,terminal-bench/db-wal-recovery,db-wal-recovery__EZARgec,1.0,1,1,0,10,18653,22794,245
base_qwen38_bf16,terminal-bench/db-wal-recovery,db-wal-recovery__rXMCFnG,1.0,1,1,0,6,10182,12134,227
base_qwen38_bf16,terminal-bench/distribution-search,distribution-search__2jFH3vH,1.0,1,1,0,4,20773,23313,180
base_qwen38_bf16,terminal-bench/distribution-search,distribution-search__MW3cxTa,1.0,1,1,0,3,19093,20971,110
base_qwen38_bf16,terminal-bench/distribution-search,distribution-search__NX5Akfx,1.0,1,1,0,3,59709,62432,703
base_qwen38_bf16,terminal-bench/distribution-search,distribution-search__RGUtEvp,1.0,1,1,0,6,13056,19427,65
base_qwen38_bf16,terminal-bench/distribution-search,distribution-search__uwNkaFx,1.0,1,1,0,5,38130,41501,185
base_qwen38_bf16,terminal-bench/dna-assembly,dna-assembly__6j2wckp,0.0,0,1,0,34,101240,113571,961
base_qwen38_bf16,terminal-bench/dna-assembly,dna-assembly__96aJRmN,0.0,0,1,0,12,112982,120096,820
base_qwen38_bf16,terminal-bench/dna-assembly,dna-assembly__FJ45rtN,0.0,0,1,0,13,103399,113505,829
base_qwen38_bf16,terminal-bench/dna-assembly,dna-assembly__rUEEVMX,0.0,0,1,0,14,100231,112270,577
base_qwen38_bf16,terminal-bench/dna-assembly,dna-assembly__x57azTn,0.0,0,1,0,11,111601,118972,982
base_qwen38_bf16,terminal-bench/dna-insert,dna-insert__4qneP5Y,1.0,1,1,0,12,14120,19957,62
base_qwen38_bf16,terminal-bench/dna-insert,dna-insert__7METuaj,0.0,0,1,0,10,8263,15053,35
base_qwen38_bf16,terminal-bench/dna-insert,dna-insert__EiGbVN4,0.0,0,1,0,8,18725,24433,113
base_qwen38_bf16,terminal-bench/dna-insert,dna-insert__Jbz5745,0.0,0,1,0,15,8483,16546,65
base_qwen38_bf16,terminal-bench/dna-insert,dna-insert__SR2Vu6R,0.0,0,1,0,15,62390,70353,689
base_qwen38_bf16,terminal-bench/extract-elf,extract-elf__3A5H3Va,1.0,1,1,0,7,11208,14242,143
base_qwen38_bf16,terminal-bench/extract-elf,extract-elf__LLGRQcW,1.0,1,1,0,26,27839,35856,341
base_qwen38_bf16,terminal-bench/extract-elf,extract-elf__U4hMcov,1.0,1,1,0,7,11738,15218,102
base_qwen38_bf16,terminal-bench/extract-elf,extract-elf__Waw8Gm8,0.0,0,1,0,15,55083,64751,643
base_qwen38_bf16,terminal-bench/extract-elf,extract-elf__rGPbvTv,0.0,0,1,0,20,55171,67190,1295
base_qwen38_bf16,terminal-bench/extract-moves-from-video,extract-moves-from-video__3qKiUjC,0.0,0,1,0,68,61459,84066,906
base_qwen38_bf16,terminal-bench/extract-moves-from-video,extract-moves-from-video__MDCVi9v,0.0,0,1,0,80,50291,73620,1346
base_qwen38_bf16,terminal-bench/extract-moves-from-video,extract-moves-from-video__MG4P3VZ,0.0,0,1,0,71,47200,79556,1350
base_qwen38_bf16,terminal-bench/extract-moves-from-video,extract-moves-from-video__hg2tf9B,0.0,0,1,0,302,50834,80946,1362
base_qwen38_bf16,terminal-bench/extract-moves-from-video,extract-moves-from-video__oHNznbE,0.0,0,1,0,54,67232,96946,1106
base_qwen38_bf16,terminal-bench/feal-differential-cryptanalysis,feal-differential-cryptanalysis__9S3jXmC,1.0,1,1,0,10,51158,57902,491
base_qwen38_bf16,terminal-bench/feal-differential-cryptanalysis,feal-differential-cryptanalysis__GCRgcpj,1.0,1,1,0,10,63520,69351,285
base_qwen38_bf16,terminal-bench/feal-differential-cryptanalysis,feal-differential-cryptanalysis__KWN95yP,1.0,1,1,0,8,37151,41774,461
base_qwen38_bf16,terminal-bench/feal-differential-cryptanalysis,feal-differential-cryptanalysis__XuYvPnv,1.0,1,1,0,20,49069,60025,634
base_qwen38_bf16,terminal-bench/feal-differential-cryptanalysis,feal-differential-cryptanalysis__dECck69,1.0,1,1,0,12,46321,54270,455
base_qwen38_bf16,terminal-bench/feal-linear-cryptanalysis,feal-linear-cryptanalysis__FfCD3fN,1.0,1,1,0,27,35778,51140,542
base_qwen38_bf16,terminal-bench/feal-linear-cryptanalysis,feal-linear-cryptanalysis__HAgLrSf,1.0,1,1,0,8,20685,27181,390
base_qwen38_bf16,terminal-bench/feal-linear-cryptanalysis,feal-linear-cryptanalysis__HPsZ9jc,1.0,1,1,0,8,47290,53080,228
base_qwen38_bf16,terminal-bench/feal-linear-cryptanalysis,feal-linear-cryptanalysis__RwFww76,1.0,1,1,0,15,65145,82297,419
base_qwen38_bf16,terminal-bench/feal-linear-cryptanalysis,feal-linear-cryptanalysis__SmYo5hg,1.0,1,1,0,17,91289,104417,1447
base_qwen38_bf16,terminal-bench/filter-js-from-html,filter-js-from-html__ActtRXp,0.0,0,1,0,19,46607,61548,708
base_qwen38_bf16,terminal-bench/filter-js-from-html,filter-js-from-html__EdKGcrr,0.0,0,1,0,12,34385,44376,393
base_qwen38_bf16,terminal-bench/filter-js-from-html,filter-js-from-html__MBmgJHT,0.0,0,1,0,10,13502,22007,181
base_qwen38_bf16,terminal-bench/filter-js-from-html,filter-js-from-html__gGcEZP9,0.0,0,1,0,6,16374,20714,204
base_qwen38_bf16,terminal-bench/filter-js-from-html,filter-js-from-html__vu5qqGX,0.0,0,1,0,6,107445,112332,1554
base_qwen38_bf16,terminal-bench/financial-document-processor,financial-document-processor__H8tTi9m,1.0,1,1,0,34,21444,34789,520
base_qwen38_bf16,terminal-bench/financial-document-processor,financial-document-processor__N9fWQ5V,1.0,1,1,0,11,14692,18591,230
base_qwen38_bf16,terminal-bench/financial-document-processor,financial-document-processor__T9HFiDf,1.0,1,1,0,15,9799,14212,107
base_qwen38_bf16,terminal-bench/financial-document-processor,financial-document-processor__TvfnydU,1.0,1,1,0,17,16788,21942,152
base_qwen38_bf16,terminal-bench/financial-document-processor,financial-document-processor__VzpGp8n,1.0,1,1,0,17,18232,24601,150
base_qwen38_bf16,terminal-bench/fix-code-vulnerability,fix-code-vulnerability__7TfNHrZ,1.0,1,1,0,21,18027,25179,247
base_qwen38_bf16,terminal-bench/fix-code-vulnerability,fix-code-vulnerability__8cr3LWA,1.0,1,1,0,16,4435,8129,89
base_qwen38_bf16,terminal-bench/fix-code-vulnerability,fix-code-vulnerability__Qj6Lxgm,1.0,1,1,0,17,2565,6770,34
base_qwen38_bf16,terminal-bench/fix-code-vulnerability,fix-code-vulnerability__cHnmMJ6,1.0,1,1,0,8,5971,9012,188
base_qwen38_bf16,terminal-bench/fix-code-vulnerability,fix-code-vulnerability__fkumQdD,1.0,1,1,0,24,5085,10137,68
base_qwen38_bf16,terminal-bench/fix-git,fix-git__2DKZa5Y,1.0,1,1,0,10,6616,10737,47
base_qwen38_bf16,terminal-bench/fix-git,fix-git__FzvpwmF,1.0,1,1,0,9,4711,7731,69
base_qwen38_bf16,terminal-bench/fix-git,fix-git__T5zpGEs,1.0,1,1,0,8,6626,9648,150
base_qwen38_bf16,terminal-bench/fix-git,fix-git__Wcc8uU4,1.0,1,1,0,14,14440,18866,168
base_qwen38_bf16,terminal-bench/fix-git,fix-git__xSU8hxs,1.0,1,1,0,6,572,1990,5
base_qwen38_bf16,terminal-bench/fix-ocaml-gc,fix-ocaml-gc__7GWd3kR,1.0,1,1,0,33,14346,20474,311
base_qwen38_bf16,terminal-bench/fix-ocaml-gc,fix-ocaml-gc__JnPEf6y,1.0,1,1,0,21,18651,22815,232
base_qwen38_bf16,terminal-bench/fix-ocaml-gc,fix-ocaml-gc__XUxJiWn,1.0,1,1,0,29,7390,12497,57
base_qwen38_bf16,terminal-bench/fix-ocaml-gc,fix-ocaml-gc__ozFqR9T,1.0,1,1,0,63,16891,28678,415
base_qwen38_bf16,terminal-bench/fix-ocaml-gc,fix-ocaml-gc__rhCEFKJ,1.0,1,1,0,91,39150,58298,574
base_qwen38_bf16,terminal-bench/gcode-to-text,gcode-to-text__27dr2pS,1.0,1,1,0,34,18084,40978,321
base_qwen38_bf16,terminal-bench/gcode-to-text,gcode-to-text__P54ZTfN,0.0,0,1,0,15,5467,16516,109
base_qwen38_bf16,terminal-bench/gcode-to-text,gcode-to-text__S6aCpxD,0.0,0,1,0,49,34796,83891,636
base_qwen38_bf16,terminal-bench/gcode-to-text,gcode-to-text__WtmmwA2,0.0,0,1,0,51,52294,83396,884
base_qwen38_bf16,terminal-bench/gcode-to-text,gcode-to-text__XwTu4tZ,0.0,0,1,0,72,47384,72216,1100
base_qwen38_bf16,terminal-bench/git-leak-recovery,git-leak-recovery__9FWDWTp,1.0,1,1,0,5,7910,10282,181
base_qwen38_bf16,terminal-bench/git-leak-recovery,git-leak-recovery__gP67FER,1.0,1,1,0,8,5053,7121,147
base_qwen38_bf16,terminal-bench/git-leak-recovery,git-leak-recovery__kwhCtMt,1.0,1,1,0,9,6266,9704,53
base_qwen38_bf16,terminal-bench/git-leak-recovery,git-leak-recovery__mposBbv,1.0,1,1,0,8,5184,7469,81
base_qwen38_bf16,terminal-bench/git-leak-recovery,git-leak-recovery__s2kzsD5,1.0,1,1,0,5,3214,5144,79
base_qwen38_bf16,terminal-bench/git-multibranch,git-multibranch__Dq3vRb3,1.0,1,1,0,14,30340,36359,606
base_qwen38_bf16,terminal-bench/git-multibranch,git-multibranch__NLkc3Zo,1.0,1,1,0,18,13686,21849,164
base_qwen38_bf16,terminal-bench/git-multibranch,git-multibranch__ctJJeQW,1.0,1,1,0,24,32462,41566,448
base_qwen38_bf16,terminal-bench/git-multibranch,git-multibranch__dK5zXwi,1.0,1,1,0,15,52415,58172,901
base_qwen38_bf16,terminal-bench/git-multibranch,git-multibranch__zppW3AE,1.0,1,1,0,11,12788,18445,166
base_qwen38_bf16,terminal-bench/gpt2-codegolf,gpt2-codegolf__8AFfDbv,0.0,0,1,0,32,59711,91580,516
base_qwen38_bf16,terminal-bench/gpt2-codegolf,gpt2-codegolf__L5eHJhL,0.0,0,1,0,16,100303,112798,1065
base_qwen38_bf16,terminal-bench/gpt2-codegolf,gpt2-codegolf__X5M7ztP,0.0,0,1,0,23,69764,95411,531
base_qwen38_bf16,terminal-bench/gpt2-codegolf,gpt2-codegolf__oCdgwnf,0.0,0,1,0,23,110092,118426,1003
base_qwen38_bf16,terminal-bench/gpt2-codegolf,gpt2-codegolf__q8uqQau,0.0,0,1,0,23,90710,101874,933
base_qwen38_bf16,terminal-bench/headless-terminal,headless-terminal__Fj5SZHs,1.0,1,1,0,6,51165,57032,1024
base_qwen38_bf16,terminal-bench/headless-terminal,headless-terminal__J94rVtW,1.0,1,1,0,27,53050,72480,991
base_qwen38_bf16,terminal-bench/headless-terminal,headless-terminal__L5BN6vY,1.0,1,1,0,14,39038,48104,687
base_qwen38_bf16,terminal-bench/headless-terminal,headless-terminal__ixxYkAg,1.0,1,1,0,9,4785,9074,56
base_qwen38_bf16,terminal-bench/headless-terminal,headless-terminal__mVSkr9E,1.0,1,1,0,22,33023,50995,804
base_qwen38_bf16,terminal-bench/hf-model-inference,hf-model-inference__E7g5XmN,1.0,1,1,0,22,6759,13559,155
base_qwen38_bf16,terminal-bench/hf-model-inference,hf-model-inference__SQdsbnp,1.0,1,1,0,15,4151,9223,78
base_qwen38_bf16,terminal-bench/hf-model-inference,hf-model-inference__iXRLNAV,1.0,1,1,0,17,1785,6955,23
base_qwen38_bf16,terminal-bench/hf-model-inference,hf-model-inference__tPZXnVJ,1.0,1,1,0,16,3914,9465,59
base_qwen38_bf16,terminal-bench/hf-model-inference,hf-model-inference__w84Hgv3,1.0,1,1,0,23,8792,18778,151
base_qwen38_bf16,terminal-bench/install-windows-3.11,install-windows-3.11__D2kMu9t,0.0,0,1,0,85,59769,89046,1110
base_qwen38_bf16,terminal-bench/install-windows-3.11,install-windows-3.11__SHzxYtr,0.0,0,1,0,47,62155,85771,1745
base_qwen38_bf16,terminal-bench/install-windows-3.11,install-windows-3.11__rybovTB,0.0,0,1,0,74,12298,29511,292
base_qwen38_bf16,terminal-bench/install-windows-3.11,install-windows-3.11__sLzcUpa,1.0,1,1,0,25,15580,30894,307
base_qwen38_bf16,terminal-bench/install-windows-3.11,install-windows-3.11__wJLdqYo,0.0,0,1,0,34,13701,30466,285
base_qwen38_bf16,terminal-bench/kv-store-grpc,kv-store-grpc__3YR9Uo6,1.0,1,1,0,8,1960,4231,13
base_qwen38_bf16,terminal-bench/kv-store-grpc,kv-store-grpc__4uHBRVL,1.0,1,1,0,7,1208,3543,12
base_qwen38_bf16,terminal-bench/kv-store-grpc,kv-store-grpc__HXJWfaB,1.0,1,1,0,6,1201,3316,6
base_qwen38_bf16,terminal-bench/kv-store-grpc,kv-store-grpc__WsNafWZ,1.0,1,1,0,10,2115,5056,25
base_qwen38_bf16,terminal-bench/kv-store-grpc,kv-store-grpc__XUuwCGo,1.0,1,1,0,8,1680,3926,17
base_qwen38_bf16,terminal-bench/large-scale-text-editing,large-scale-text-editing__2rH8YH5,1.0,1,1,0,13,19157,22237,278
base_qwen38_bf16,terminal-bench/large-scale-text-editing,large-scale-text-editing__32i5VQE,1.0,1,1,0,23,43647,51883,713
base_qwen38_bf16,terminal-bench/large-scale-text-editing,large-scale-text-editing__m87q8Qk,1.0,1,1,0,11,16743,22402,204
base_qwen38_bf16,terminal-bench/large-scale-text-editing,large-scale-text-editing__qG7SdxG,1.0,1,1,0,14,16724,20019,166
base_qwen38_bf16,terminal-bench/large-scale-text-editing,large-scale-text-editing__targcqN,1.0,1,1,0,9,7947,10165,78
base_qwen38_bf16,terminal-bench/largest-eigenval,largest-eigenval__3zYRPCM,1.0,1,1,0,18,22596,36689,237
base_qwen38_bf16,terminal-bench/largest-eigenval,largest-eigenval__BqQUkZK,0.0,0,1,0,16,66749,95389,1009
base_qwen38_bf16,terminal-bench/largest-eigenval,largest-eigenval__CLmARKb,0.0,0,1,0,26,86483,105910,1280
base_qwen38_bf16,terminal-bench/largest-eigenval,largest-eigenval__PdDgFta,0.0,0,1,0,56,57020,84805,838
base_qwen38_bf16,terminal-bench/largest-eigenval,largest-eigenval__kVmZ94Y,0.0,0,1,0,24,96049,117228,563
base_qwen38_bf16,terminal-bench/llm-inference-batching-scheduler,llm-inference-batching-scheduler__AZxuSxU,1.0,1,1,0,14,45521,60381,437
base_qwen38_bf16,terminal-bench/llm-inference-batching-scheduler,llm-inference-batching-scheduler__Co2MtDd,1.0,1,1,0,13,30382,42633,307
base_qwen38_bf16,terminal-bench/llm-inference-batching-scheduler,llm-inference-batching-scheduler__JbVzDij,1.0,1,1,0,25,58106,74193,625
base_qwen38_bf16,terminal-bench/llm-inference-batching-scheduler,llm-inference-batching-scheduler__ejgPmVJ,1.0,1,1,0,10,31773,43191,146
base_qwen38_bf16,terminal-bench/llm-inference-batching-scheduler,llm-inference-batching-scheduler__sPDjFtb,1.0,1,1,0,12,28046,37385,203
base_qwen38_bf16,terminal-bench/log-summary-date-ranges,log-summary-date-ranges__6eaDTDk,1.0,1,1,0,6,3405,5964,12
base_qwen38_bf16,terminal-bench/log-summary-date-ranges,log-summary-date-ranges__Cz5vUjd,1.0,1,1,0,5,7275,9283,125
base_qwen38_bf16,terminal-bench/log-summary-date-ranges,log-summary-date-ranges__nWRQASL,1.0,1,1,0,5,4292,5730,86
base_qwen38_bf16,terminal-bench/log-summary-date-ranges,log-summary-date-ranges__pj5JGzu,1.0,1,1,0,14,24869,29667,470
base_qwen38_bf16,terminal-bench/log-summary-date-ranges,log-summary-date-ranges__ydHpuaQ,1.0,1,1,0,6,7596,9227,144
base_qwen38_bf16,terminal-bench/mailman,mailman__3AsjcHT,1.0,1,1,0,47,57133,73059,736
base_qwen38_bf16,terminal-bench/mailman,mailman__JJNbpCC,1.0,1,1,0,47,67426,84018,845
